ZINC_ID,Glide_5R8T,Glide_5R81,Glide_5REZ,Glide_5RF7,Glide_5RGI,Glide_5RH3,Glide_6LU7_2,Glide_7BUY
C25185885_P37233375,-6.901,-5.858,-6.357,-6.816,-5.768,-5.698,-6.2,-6.695
C21995363_P32731154,-5.721,-6.047,-6.011,-6.629,-5.893,-5.37,-5.847,-6.693
C86668161_P135693698,-5.088,-6.373,-6.414,-6.567,-5.433,-5.507,-6.128,-6.692
C53735877_P80801479,-5.654,-6.63,-6.206,-6.365,-5.685,-6.145,-7.324,-6.687
C79899661_P124823281,-5.717,-6.661,-6.845,-6.041,-5.437,-6.411,-6.297,-6.685
C37696960_P138070289,-5.484,-6.061,-6.574,-6.197,-5.46,-5.528,-6.064,-6.678
C67982631_P104372867,-4.929,-6.518,-6.012,-6.154,-6.905,-5.872,-5.719,-6.677
C59200113_P89864521,-5.205,-7.182,-5.977,-6.774,-6.02,-5.904,-5.69,-6.676
C62986471_P96708533,-6.123,-6.311,-5.31,-6.766,-6.384,-5.928,-5.835,-6.667
C86763151_P135803200,-5.168,-6.461,-5.52,-6.646,-5.972,-5.613,-6.533,-6.666
C87603059_P137022434,-4.828,-5.664,-5.105,-5.969,-5.05,-5.819,-6.371,-6.666
C15569254_P23530193,-5.507,-6.544,-5.289,-6.662,-5.048,-6.143,-6.33,-6.66
C86234420_P135024810,-5.201,-6.562,-5.512,-5.696,-6.718,-4.881,-6.053,-6.656
C88022639_P137669487,-5.641,-5.496,-4.88,-5.732,-5.353,-5.626,-4.652,-6.656
C44272057_P66853815,-5.909,-6.409,-5.665,-6.74,-5.471,-5.881,-6.185,-6.65
C54558153_P82107177,-4.906,-5.625,-5.69,-5.998,-5.193,-5.34,-6.314,-6.648
C63234711_P97117724,-4.221,-5.437,-6.241,-7.192,-5.377,-6.06,-6.212,-6.644
C08848157_P24289076,-5.937,-6.937,-6.262,-6.867,-5.913,-6.958,-6.737,-6.632
C46169464_P69485771,-5.497,-7.019,-6.808,-6.448,-6.951,-6.549,-6.807,-6.628
C39410551_P156244931,-5.811,-6.594,-5.949,-7.058,-6.88,-6.212,-6.107,-6.627
C39907428_P60550257,-5.279,-6.95,-5.568,-7.167,-5.414,-5.99,-6.284,-6.619
C79543814_P130997044,-5.141,-5.602,-5.202,-5.996,-3.981,-5.281,-5.847,-6.619
C98049510_P155782598,-6.071,-6.767,-6.045,-6.164,-5.208,-4.329,-7.028,-6.617
C98016944_P155686169,-4.323,-5.067,-3.814,-5.867,-5.224,-4.67,-5.828,-6.616
C01656283_P17120317,-5.389,-5.738,-5.656,-6.269,-5.24,-5.077,-6.89,-6.615
C08606510_P57162156,-5.701,-6,-6.747,-6.274,-4.69,-6.763,-5.867,-6.608
C72416687_P112646652,-6.283,-6.594,-6.343,-6.731,-5.806,-5.185,-5.818,-6.601
C63384214_P97337270,-5.83,-6.484,-5.835,-6.886,-7.619,-6.554,-7.007,-6.6
C37401701_P55609156,-5.818,-6.353,-5.985,-6.686,-5.059,-6.356,-6.026,-6.6
C69899035_P107707325,-5.402,-5.276,-5.032,-6.083,0,-5.089,-5.758,-6.6
C95884350_P150930952,-5.531,-6.363,-5.502,-6.272,-5.038,-5.322,-5.507,-6.598
C44188635_P66744890,-5.866,-6.393,-7.153,-6.883,-5.747,-6.522,-6.715,-6.597
C82670687_P129205964,-4.79,-5.174,-5.37,-5.86,-5.901,-5.228,-5.803,-6.596
C86415258_P135301692,-4.924,-6.739,-6.56,-5.714,-5.803,-5.954,-5.634,-6.595
C94411161_P147962100,-5.279,-6.474,-6.097,-6.623,-5,-5.034,-5.625,-6.591
C65496400_P100722987,-4.722,-5.426,-6.006,-6.262,-5.377,-4.782,-5.204,-6.59
C40973292_P62187276,-5.84,-6.453,-5.508,-7.319,-5.48,-5.157,-6.432,-6.585
C85885265_P134462679,-5.703,-6.668,-5.899,-7.839,-6.539,-5.677,-6.136,-6.584
C08406235_P12842269,-5.614,-6.234,-6.902,-5.675,-6.002,-6.523,-5.984,-6.582
C85146839_P133218113,-5.693,-6.168,-6.452,-6.799,-6.536,-6.518,-6.022,-6.579
C40226480_P61072501,-5.513,-6.786,-7.466,-6.968,-6.22,-5.614,-6.469,-6.578
