Compound,Score,Flag
ZINC000000622997,-4.91,0
ZINC000000627746,-4.91,0
ZINC000000588302,-4.9,0
ZINC000000005293,-4.83,0
ZINC000000081979,-4.83,0
ZINC000000112169,-4.82,0
ZINC000000607941,-4.79,0
ZINC000000022768,-4.76,0
ZINC000000010657,-4.7,0
44354968,-4.68,1
ZINC000000001283,-4.67,0
ZINC000000002493,-4.67,0
ZINC000000046751,-4.64,0
ZINC000000002845,-4.63,0
ZINC000000000744,-4.62,0
ZINC000000002093,-4.61,0
ZINC000000007571,-4.61,0
ZINC000000536060,-4.53,0
ZINC000000622487,-4.48,0
ZINC000000054542,-4.46,0
ZINC000000012188,-4.44,0
ZINC000000001244,-4.43,0
ZINC000000002116,-4.36,0
ZINC000000005522,-4.36,0
ZINC000000580085,-4.32,0
ZINC000000002416,-4.2,0
ZINC000000035546,-4.18,0
ZINC000000613862,-4.14,0
ZINC000000030384,-4.01,0
ZINC000000002115,-3.92,0
ZINC000000004241,-3.28,0
