ZINC_ID, docking_score,Flag
Active_2b,-5.604,1
C16043784_P24258724,-5.597,0
C38139457_P57376423,-5.595,0
C35567796_P52786968,-5.595,0
C43477020_P65753615,-5.594,0
C67665231_P103888337,-5.594,0
P153247985,-5.593,0
C72320427_P112402161,-5.592,0
C26500814_P45232849,-5.592,0
P109061407,-5.589,0
P99441033,-5.588,0
P56365510,-5.587,0
P109079795,-5.586,0
P30466534,-5.577,0
P97495870,-5.575,0
P30318235,-5.57,0
P53507257,-5.57,0
C97961624_P155560730,-5.568,0
C08838116_P30212437,-5.565,0
C35484188_P52652935,-5.563,0
C16733689_P51502747,-5.56,0
C09462877_P37084787,-5.559,0
C20833458_P31106352,-5.558,0
C39914015_P61497041,-5.554,0
C64843941_P99634459,-5.553,0
C65430425_P100604716,-5.551,0
P99441008,-5.551,0
C09630711_P14757831,-5.549,0
P56851082,-5.538,0
C33491199_P49605330,-5.533,0
C04337688_P126157943,-5.531,0
C39849634_P60472938,-5.529,0
P63592354,-5.528,0
P75438069,-5.526,0
C54624719_P82201616,-5.525,0
P94739615,-5.525,0
P12893431,-5.524,0
P62216744,-5.52,0
P155513534,-5.519,0
C45967758_P69222959,-5.512,0
C09409216_P76817550,-5.51,0
C32535777_P48057438,-5.506,0
C39055829_P59178699,-5.505,0
C06088992_P09261987,-5.505,0
C16734810_P35807889,-5.503,0
C36500847_P54267694,-5.503,0
P49380346,-5.503,0
C20310292_P30265095,-5.501,0
P53620902,-5.496,0
P18767988,-5.495,0
C20744074_P30958669,-5.492,0
P31105491,-5.492,0
C18168765_P112248993,-5.489,0
P155583767,-5.489,0
P05492893,-5.484,0
P123709631,-5.473,0
C83434018_P130500964,-5.468,0
P52114820,-5.468,0
P111670568,-5.465,0
P62102405,-5.463,0
P104262000,-5.462,0
P112599903,-5.457,0
P155572006,-5.457,0
P89685311,-5.455,0
Active_27,-5.451,1
C66199679_P101819568,-5.45,0
P156246396,-5.449,0
P52439685,-5.448,0
C10579069_P20285314,-5.445,0
C79844040_P124759025,-5.443,0
P76058749,-5.442,0
C35484282_P52653130,-5.441,0
P05452536,-5.441,0
P109032168,-5.438,0
C33814229_P50106424,-5.437,0
P130284991,-5.437,0
C33533568_P49674141,-5.436,0
P139985132,-5.435,0
P148387499,-5.434,0
C77257685_P120527391,-5.431,0
P148736716,-5.431,0
C20256337_P30172225,-5.43,0
C11795904_P17458883,-5.429,0
C33492777_P49607861,-5.428,0
C19740549_P110313698,-5.428,0
P69763945,-5.427,0
P19880623,-5.426,0
C59018657_P89412108,-5.424,0
P62582919,-5.421,0
C34912502_P51825314,-5.42,0
P88463602,-5.419,0
C19925828_P29644526,-5.418,0
C34941773_P51868533,-5.417,0
P151938600,-5.417,0
C01022111_P156445977,-5.413,0
P116963166,-5.409,0
C09409043_P76817239,-5.407,0
C42768972_P64657925,-5.403,0
C34944120_P51871160,-5.399,0
P52164085,-5.399,0
P112401942,-5.398,0
Active_5a,-5.397,1
C08444172_P130129121,-5.396,0
C58993649_P89345135,-5.395,0
P30543454,-5.395,0
C16734870_P35807953,-5.391,0
P155761140,-5.391,0
