Compound,Best,Flag
C01051512_P09538509,-8.7744236,0
Terpene_100-2GZ7,-8.77233124,1
C08762558_P13453135,-8.77204418,0
C09776402_P134529183,-8.76986885,0
C23888409_P35447652,-8.76924324,0
C17143435_P25776635,-8.76652718,0
C33895796_P130250727,-8.76225853,0
C20990495_P31359577,-8.76164341,0
C59123569_P89683667,-8.75781536,0
C01219287_P09566933,-8.75552464,0
C23126623_P156282849,-8.75490856,0
C12932641_P86257928,-8.75424099,0
C40063054_P60801742,-8.75225067,0
C96838554_P153193944,-8.75166035,0
C50616457_P75702135,-8.74906445,0
C01622957_P08528869,-8.74894905,0
C40823205_P61977233,-8.74041462,0
C20794225_P31023278,-8.73889637,0
C22742854_P57766509,-8.73858261,0
C97618015_P154728683,-8.73848438,0
C21663233_P32278856,-8.73657227,0
C20557019_P30655196,-8.73632717,0
C02265793_P85706628,-8.73491859,0
C70706709_P109091943,-8.73288059,0
C63637742_P97720340,-8.72707748,0
C21175348_P31642218,-8.72694683,0
C41004396_P62236329,-8.72200012,0
C08934215_P13716624,-8.72019672,0
C20548180_P30646019,-8.71928787,0
C17098071_P57702111,-8.71519661,0
C01111452_P83642139,-8.70821381,0
C46022683_P99443102,-8.7039814,0
Misc_183-2GZ7,-8.6997242,1
C17778361_P155555344,-8.69706154,0
C12848269_P18875474,-8.69496059,0
C28291653_P41650483,-8.69163704,0
C59678088_P90920707,-8.68727589,0
C36021932_P151602604,-8.68605423,0
C08791572_P13501777,-8.68338108,0
C06776274_P10695140,-8.67954922,0
C59416346_P90388876,-8.67832279,0
C41006259_P62238200,-8.67482853,0
C20176004_P111170988,-8.67093277,0
C40680808_P61748264,-8.66885376,0
C38728758_P58640180,-8.66832542,0
C34757890_P51593504,-8.6673193,0
C27992288_P41238949,-8.66495419,0
C25782449_P38089530,-8.6627903,0
C40281252_P61145310,-8.66243362,0
C15958429_P152322803,-8.66084385,0
C13129034_P19571499,-8.65886402,0
C02120092_P56468632,-8.65714455,0
C20694095_P30893858,-8.65586948,0
C20940701_P31262322,-8.65554523,0
C05224118_P07725361,-8.6546402,0
C37426996_P55643163,-8.65080833,0
C33290938_P49238173,-8.65025902,0
C01126390_P82784453,-8.64970779,0
C01901813_P09116450,-8.64670277,0
C50616807_P75702648,-8.64578056,0
C39206481_P59402050,-8.64506817,0
C18198894_P27208003,-8.64502716,0
C02266459_P155520068,-8.64478683,0
C17307002_P25978687,-8.64389324,0
C77392252_P120750013,-8.64138222,0
C34813805_P51663334,-8.63821793,0
C39897430_P60527183,-8.63778782,0
C08836174_P75486806,-8.63708878,0
C08594181_P13113881,-8.63374996,0
C16036505_P54315898,-8.63269424,0
Pyrazolone_136b-2GZ7,-8.63141727,1
C33358558_P155654421,-8.62937832,0
C16361696_P24748709,-8.62924099,0
C97939849_P155478995,-8.62893295,0
C06137006_P12821628,-8.62829971,0
C48288650_P72244626,-8.62622738,0
C25144972_P37186541,-8.6231184,0
C00707942_P05205992,-8.6181221,0
C10076149_P15372745,-8.61771584,0
C12361981_P18162911,-8.61717129,0
C36395453_P54110409,-8.61672974,0
C05342257_P97992390,-8.613904,0
C09601239_P14710647,-8.61367416,0
C39364939_P59654195,-8.60776806,0
C47137355_P70699764,-8.60748959,0
C33115402_P48998690,-8.60717773,0
C58847758_P89090259,-8.60598755,0
C58848127_P89092950,-8.60537434,0
C01040109_P09485309,-8.60337067,0
C59089197_P89600898,-8.6004467,0
C00647566_P12801010,-8.6003809,0
C12446976_P152332841,-8.59925556,0
C22569465_P90613798,-8.59740925,0
C19691855_P29210158,-8.59695435,0
C59513107_P90594195,-8.59605408,0
C20885802_P31186063,-8.59424019,0
C33568631_P49729953,-8.59173965,0
C14358789_P21996621,-8.58881569,0
C24261587_P35991619,-8.58602715,0
C73340126_P114156379,-8.58506489,0
C15958910_P112426837,-8.58428383,0
C04147402_P75209676,-8.58392239,0
C01860471_P09114031,-8.58133888,0
C34759157_P51593775,-8.57953548,0
C72472249_P112748588,-8.5775938,0
C77979482_P121668886,-8.57734966,0
C58925176_P89203467,-8.57692623,0
C12845566_P57562173,-8.5759325,0
C39141062_P59294827,-8.57373047,0
C63546831_P97586020,-8.57042789,0
C16335464_P111345751,-8.5699234,0
C71861618_P111476599,-8.56658077,0
C02184786_P09225002,-8.56415558,0
C06137006_P12821626,-8.56410027,0
C02178381_P06001611,-8.56392097,0
Flavonoid_90a-2GZ7,-8.56348705,1
C58789418_P88981507,-8.56027794,0
C02544337_P05787222,-8.5602293,0
C09685484_P14997821,-8.56002808,0
C00720090_P14336971,-8.55892563,0
C37604510_P55919686,-8.55736637,0
C12560305_P18461968,-8.55730629,0
C50616944_P75702864,-8.5561676,0
C12464401_P49300317,-8.55470753,0
C41586569_P96684383,-8.55403328,0
C21796100_P32442161,-8.55167675,0
Pyrimidine_110-2GZ7,-8.54941177,1
C27519278_P40542878,-8.54507446,0
C00688395_P56372753,-8.54434586,0
C04148324_P10225313,-8.53906822,0
C34676914_P151787254,-8.53863811,0
C09045377_P13883613,-8.53839874,0
C06901585_P19442805,-8.53667164,0
C70706006_P109090923,-8.53491211,0
C08432762_P12763761,-8.53453159,0
C13881895_P30239120,-8.53233147,0
C97939483_P155470894,-8.53191948,0
C20899471_P31207914,-8.53028774,0
C64814524_P151914314,-8.52987194,0
C08430229_P12758107,-8.52746677,0
C22027256_P32829924,-8.52745914,0
C85907388_P134504327,-8.52678967,0
C78654460_P122734636,-8.5209341,0
C01077475_P155477657,-8.52014542,0
C01446108_P06505339,-8.51755619,0
C83309699_P130251938,-8.51737404,0
C33932201_P53894774,-8.51542282,0
C08443915_P12797829,-8.51427364,0
C22742850_P57766514,-8.51365471,0
C39440214_P59776254,-8.51189995,0
C08926195_P13700892,-8.51025391,0
C33282558_P49220008,-8.50798607,0
C01079452_P06367910,-8.50704956,0
C20764553_P30994929,-8.50541782,0
C58847811_P89090341,-8.50383377,0
C19808967_P29414750,-8.5022316,0
C97939847_P155478991,-8.5007,0
C05214439_P09658230,-8.49843311,0
C15306190_P23203494,-8.49797058,0
C95483378_P151928556,-8.49440861,0
C41394247_P62772992,-8.49083805,0
C02807172_P59610313,-8.48768044,0
C20501863_P155483386,-8.48654556,0
C63646703_P97732508,-8.48651886,0
C04698469_P06688294,-8.48559093,0
C09601534_P23167920,-8.48445129,0
C36366314_P54051838,-8.48026562,0
C65272198_P152119972,-8.47995567,0
C39425584_P59752781,-8.47874355,0
C98216219_P156199551,-8.47513771,0
C02341118_P09354482,-8.47165585,0
C13551331_P85664553,-8.47084618,0
C39543707_P99282064,-8.46706295,0
C33471303_P152816269,-8.4667511,0
C06919532_P10900292,-8.46182537,0
C08451976_P12835246,-8.45806122,0
C70700408_P109078021,-8.45795822,0
C04664927_P06560007,-8.45726681,0
C41006237_P62238178,-8.45629215,0
C39041027_P59152958,-8.4561491,0
C54202149_P81544253,-8.45602226,0
C20570238_P30684402,-8.45496559,0
C02050271_P06012970,-8.45312023,0
C04745467_P06806422,-8.45195103,0
C04417563_P05942523,-8.45169353,0
C35685488_P52970429,-8.45081139,0
C59335598_P90197594,-8.4439497,0
C04236762_P05521155,-8.44373798,0
