Ligand,Score,Flag
ZINC000000015747,-6.91688681,0
ZINC000000018764,-6.91060686,0
ZINC000000124543,-6.90996599,0
ZINC000000041244,-6.89342928,0
ZINC000000013940,-6.89175892,0
ZINC000000008908,-6.88785267,0
ZINC000000008247,-6.88496733,0
ZINC000000004155,-6.8826375,0
ZINC000000008850,-6.87223816,0
ZINC000000009125,-6.8699007,0
ZINC000000036748,-6.86757135,0
ZINC000000012513,-6.86676788,0
ZINC000000002091,-6.86420298,0
ZINC000000003308,-6.86031771,0
ZINC000000006227,-6.85695457,0
ZINC000000001143,-6.84970999,0
ZINC000000023249,-6.84474564,0
ZINC000000005160,-6.83956099,0
ZINC000000002008,-6.8329668,0
ZINC000000017280,-6.82986355,0
ZINC000000004522,-6.82661724,0
ZINC000000339488,-6.82540512,0
ZINC000000002845,-6.8145113,0
ZINC000000008248,-6.80967665,0
ZINC000000000517,-6.78263903,0
ZINC000000028691,-6.77522993,0
ZINC000000025870,-6.77321053,0
ZINC000000170720,-6.7722621,0
ZINC000000000720,-6.75954723,0
ZINC000000014888,-6.72885513,0
ZINC000000025912,-6.72400808,0
ZINC000000013366,-6.72148705,0
ZINC000000004166,-6.72044754,0
ZINC000000098649,-6.70963049,0
ZINC000000009818,-6.69127846,0
ZINC000000002104,-6.67526484,0
ZINC000000011162,-6.66867924,0
ZINC000000015778,-6.6639533,0
ZINC000000035960,-6.66060972,0
ZINC000000027925,-6.64254713,0
ZINC000000005522,-6.62854481,0
ZINC000000006138,-6.61756611,0
ZINC000000028525,-6.61736012,0
ZINC000000022609,-6.61084318,0
ZINC000000044494,-6.60306168,0
ZINC000000001071,-6.60164738,0
ZINC000000070103,-6.59789515,0
ZINC000000038958,-6.59421253,0
ZINC000000023838,-6.5895319,0
ZINC000000031490,-6.58489799,0
ZINC000000004841,-6.58329916,0
ZINC000000017919,-6.58290434,0
ZINC000000002322,-6.58035755,0
ZINC000000027631,-6.56881285,0
active_4055,-6.56201315,1
ZINC000000095453,-6.55717659,0
ZINC000000039995,-6.50588131,0
ZINC000000056609,-6.4990654,0
ZINC000000020013,-6.49701405,0
ZINC000000004759,-6.49524784,0
ZINC000000002156,-6.44373941,0
ZINC000000001116,-6.44215441,0
ZINC000000092777,-6.43621492,0
ZINC000000006686,-6.4319725,0
ZINC000000029678,-6.42817068,0
ZINC000000298020,-6.42771244,0
ZINC000000013938,-6.41234016,0
ZINC000000003901,-6.40851545,0
ZINC000000025861,-6.39131594,0
ZINC000000007285,-6.37622499,0
ZINC000000000880,-6.37399864,0
ZINC000000009239,-6.37293959,0
ZINC000000001448,-6.36966848,0
ZINC000000005516,-6.36642647,0
ZINC000000001377,-6.36414194,0
ZINC000000005203,-6.36380339,0
ZINC000000000772,-6.35409212,0
ZINC000000005359,-6.33879709,0
ZINC000000048383,-6.31370544,0
ZINC000000245623,-6.30894947,0
ZINC000000005200,-6.30877686,0
ZINC000000115597,-6.30411148,0
ZINC000000023689,-6.30386686,0
ZINC000000034606,-6.28244877,0
ZINC000000001582,-6.27932358,0
ZINC000000014479,-6.27536535,0
ZINC000000055224,-6.24630308,0
ZINC000000039783,-6.21741152,0
ZINC000000001876,-6.2173152,0
ZINC000000120149,-6.21127176,0
ZINC000000008931,-6.20891666,0
ZINC000000026618,-6.20339775,0
ZINC000000070162,-6.19812679,0
ZINC000000022774,-6.19298267,0
ZINC000000042141,-6.16200924,0
ZINC000000022605,-6.13102484,0
ZINC000000010753,-6.1245594,0
ZINC000000050419,-6.10183525,0
ZINC000000136493,-6.09227705,0
ZINC000000000193,-6.08067131,0
ZINC000000002416,-6.08060551,0
ZINC000000003723,-6.07476711,0
ZINC000000035016,-6.06126881,0
ZINC000000028366,-6.05424976,0
ZINC000000002127,-6.05116034,0
ZINC000000027319,-6.04918146,0
ZINC000000157925,-6.04718733,0
ZINC000000054244,-6.03783512,0
ZINC000000138575,-6.03364658,0
ZINC000000055397,-6.02925158,0
ZINC000000000941,-6.02128315,0
ZINC000000008678,-6.01068544,0
ZINC000000085654,-5.99930239,0
ZINC000000004317,-5.97603512,0
ZINC000000002137,-5.95012236,0
ZINC000000002779,-5.94723892,0
ZINC000000004100,-5.94105959,0
ZINC000000054456,-5.93925047,0
ZINC000000001615,-5.9292841,0
ZINC000000022760,-5.91578484,0
ZINC000000143275,-5.9136467,0
